Wall time,Step,Value
1589669863.46021,1,14.405529022216797
1589670005.7481308,51,16.548248291015625
1589670012.7392976,101,17.045650482177734
1589670121.8953228,151,49.52213668823242
1589670126.3607204,201,14.84682559967041
1589670236.0907016,251,18.458467483520508
1589670240.4956582,301,21.866214752197266
1589670329.671859,351,27.88143539428711
1589670333.8728576,401,21.317960739135742
1589670448.5836544,451,17.687429428100586
1589670453.039843,501,10.350509643554688
1589670537.1701083,551,23.653671264648438
1589670541.659047,601,56.043087005615234
1589670621.0173998,651,24.930965423583984
1589670625.1751158,701,14.470088005065918
1589670720.4133744,751,37.52471923828125
1589670724.429422,801,17.570068359375
1589670807.3676803,851,30.90114974975586
1589670811.7521625,901,20.506696701049805
1589670892.779735,951,20.0754451751709
1589670897.4628773,1001,18.145050048828125
1589670996.0401425,1051,25.783414840698242
1589671000.09714,1101,37.8006477355957
1589671082.1113257,1151,48.6709098815918
1589671086.7461393,1201,37.62838363647461
1589671173.0391018,1251,31.51426887512207
1589671177.072464,1301,27.24260711669922
1589671263.3450375,1351,21.190397262573242
1589671267.5176485,1401,16.949920654296875
1589671367.155876,1451,23.72471809387207
1589671371.2476795,1501,10.924508094787598
1589671448.8706105,1551,25.523134231567383
1589671453.5015886,1601,16.497264862060547
1589671543.2238638,1651,19.204639434814453
1589671547.636661,1701,29.439292907714844
1589671634.030526,1751,14.7686128616333
1589671638.474304,1801,15.40915584564209
1589671733.6992154,1851,19.75766944885254
1589671738.1825898,1901,40.155250549316406
1589671832.3908608,1951,16.349166870117188
1589671836.6433685,2001,37.657257080078125
1589671922.1655533,2051,21.317626953125
1589671926.9473057,2101,12.296533584594727
1589672010.1731322,2151,40.51773452758789
1589672014.756867,2201,22.635799407958984
1589672091.075777,2251,26.99961280822754
1589672095.1328506,2301,24.008686065673828
1589672162.8349786,2351,19.679025650024414
1589672166.8732238,2401,13.09340763092041
1589672232.609,2451,28.731609344482422
1589672236.7524338,2501,44.220115661621094
1589672310.9026332,2551,24.65335464477539
1589672314.898561,2601,28.91651153564453
1589672380.7263534,2651,13.010679244995117
1589672385.0945807,2701,31.00440788269043
1589672453.3844934,2751,17.960418701171875
1589672457.5336628,2801,24.99518585205078
1589672525.3777823,2851,23.884550094604492
1589672530.619673,2901,14.311701774597168
1589672611.792467,2951,28.008808135986328
1589672615.9218707,3001,20.11328125
1589672677.7967327,3051,17.446758270263672
1589672682.1391444,3101,32.26203918457031
1589672757.604942,3151,20.000377655029297
1589672761.5374053,3201,21.489212036132812
1589672832.0773292,3251,12.196782112121582
1589672836.1466775,3301,26.06422233581543
1589672903.7589977,3351,17.63491439819336
1589672908.3456817,3401,25.015411376953125
1589672977.3815627,3451,20.323514938354492
1589672981.5328515,3501,26.119083404541016
1589673043.7696936,3551,8.527022361755371
1589673048.211399,3601,20.865699768066406
1589673118.4450488,3651,12.013317108154297
1589673122.748135,3701,18.250038146972656
1589673191.1865377,3751,16.18488121032715
1589673195.4872813,3801,27.68475914001465
1589673259.8661819,3851,50.516082763671875
1589673264.3667967,3901,14.747984886169434
1589673342.814808,3951,18.54351234436035
1589673346.9150395,4001,22.635013580322266
1589673408.413155,4051,28.167430877685547
1589673412.4379952,4101,13.479130744934082
1589673482.4761775,4151,15.321317672729492
1589673487.1982763,4201,26.564271926879883
1589673560.705392,4251,16.2073974609375
1589673565.7488482,4301,28.378747940063477
1589673646.5452983,4351,11.708281517028809
1589673651.6686976,4401,18.121379852294922
1589673747.576427,4451,20.759288787841797
1589673751.9787815,4501,28.2720890045166
1589673814.9235966,4551,28.884830474853516
1589673819.0680652,4601,13.276077270507812
1589673884.015614,4651,23.716772079467773
1589673889.1814377,4701,18.004793167114258
1589673965.9597561,4751,15.575834274291992
1589673969.9742312,4801,21.478221893310547
1589674031.1338716,4851,20.832462310791016
1589674035.1570547,4901,26.377763748168945
1589674101.3205073,4951,18.679128646850586
1589674105.5577154,5001,15.27269458770752
1589674169.5988433,5051,12.16305923461914
1589674175.020701,5101,34.35066604614258
1589674262.8129787,5151,19.04560089111328
1589674267.7950635,5201,13.977896690368652
1589674346.4818704,5251,21.005680084228516
1589674350.8555512,5301,19.529354095458984
1589674424.001865,5351,19.79475212097168
1589674428.6296084,5401,24.3375301361084
1589674497.6971502,5451,53.59318161010742
1589674502.0942974,5501,29.068326950073242
1589674573.9121253,5551,25.755573272705078
1589674578.1959383,5601,15.51291275024414
1589674655.6145723,5651,30.86690330505371
1589674660.4570568,5701,18.177213668823242
1589674734.417494,5751,17.195932388305664
1589674738.450279,5801,20.393640518188477
1589674802.6480896,5851,31.015933990478516
1589674806.9782534,5901,21.506986618041992
1589674873.9874153,5951,20.025548934936523
1589674878.2704873,6001,20.43804931640625
1589674960.5191255,6051,15.172015190124512
1589674965.1823921,6101,22.80844497680664
1589675037.8567832,6151,21.774574279785156
1589675042.115666,6201,29.093366622924805
1589675106.436941,6251,27.365419387817383
1589675110.908327,6301,24.9189395904541
1589675179.2065492,6351,21.32343292236328
1589675183.2315745,6401,17.452089309692383
1589675252.7517278,6451,9.023738861083984
1589675257.23365,6501,27.555871963500977
1589675327.5251036,6551,15.94993782043457
1589675331.736567,6601,28.47969627380371
1589675398.6935031,6651,21.375953674316406
1589675402.8036876,6701,28.023990631103516
1589675479.6002142,6751,23.23595428466797
1589675483.6899455,6801,23.442481994628906
